facebook.com, 157.240.2.35
youtube.com, 172.217.2.14
yahoo.com, 98.137.246.8
live.com, 204.79.197.212
wikipedia.org, 208.80.153.224
msn.com, 13.82.28.61
baidu.com, 111.13.101.208
blogspot.com, 172.217.2.9
microsoft.com, 23.100.122.175
qq.com, 125.39.240.113
taobao.com, 140.205.94.189
bing.com, 204.79.197.200
sina.com.cn, 202.108.33.60
soso.com, 118.191.216.57
163.com, 123.58.180.8
ask.com, 23.73.183.48
adobe.com, 192.147.130.204
twitter.com, 104.244.42.193
mozilla.com, 63.245.213.17
youku.com, 106.11.186.25
sdjjdsaf.com, 
andysayler.com, 162.243.49.20
wmfo.org, 23.92.21.128
amazon.com, 176.32.103.205
wordpress.com, 192.0.78.9
tudou.com, 106.11.186.25
yahoo.co.jp, 182.22.59.229
sohu.com, 220.181.90.20
apple.com, 17.142.160.59
hao123.com, 123.125.114.5
windows.com, 104.43.195.251
ebay.com, 66.211.162.12
pps.tv, 101.227.188.176
xunlei.com, 182.118.18.100
56.com, 221.5.34.99
fc2.com, 54.213.36.26
paypal.com, 64.4.250.32
sogou.com, 118.191.216.57
tmall.com, 140.205.94.193
ku6.com, 117.50.1.222
rakuten.co.jp, 133.237.61.176
about.com, 151.101.129.121
orkut.com.br, 
ifeng.com, 210.51.19.63
goo.ne.jp, 153.254.147.65
bbc.co.uk, 151.101.0.81
yandex.ru, 5.255.255.5
myspace.com, 63.135.90.70
mail.ru, 217.69.139.200
cnet.com, 64.30.228.118
go.com, 23.236.60.174
4399.com, 118.184.184.70
orkut.com, 216.239.36.21
skype.com, 40.121.80.200
ameblo.jp, 72.247.114.130
naver.com, 210.89.164.90
flickr.com, 69.147.88.7
4shared.com, 204.155.146.95
amazon.co.jp, 52.119.161.5
linkedin.com, 108.174.10.10
dailymotion.com, 195.8.215.136
imdb.com, 52.94.225.248
aol.com, 149.174.107.100
hotmail.com, 204.79.197.212
360.cn, 101.198.193.22
craigslist.org, 208.82.237.129
weather.com, 23.1.133.227
soku.com, 106.11.47.20
alibaba.com, 205.204.101.42
megaupload.com, 
renren.com, 103.235.252.231
livedoor.jp, 125.6.149.67
blogger.com, 172.217.2.9
vkontakte.ru, 95.213.4.229
answers.com, 192.41.64.63
rapidshare.com, 10.11.12.13
daum.net, 211.231.99.80
7k7k.com, 115.182.59.140
2345.com, 42.62.30.180
photobucket.com, 209.17.68.100
mediafire.com, 205.196.120.8
ehow.com, 23.227.11.12
seesaa.net, 13.33.251.5
paipai.com, 
alipay.com, 110.75.129.5
softonic.com, 46.28.209.62
nifty.com, 222.158.213.148
imageshack.us, 208.94.3.18
cnn.com, 151.101.65.67
tianya.cn, 124.225.65.154
mywebsearch.com, 74.113.233.48
zynga.com, 54.200.204.21
partypoker.com, 185.37.77.41
hp.com, 15.72.228.83
walmart.com, 161.170.230.170
kugou.com, 14.18.236.182
ebay.de, 66.211.181.20
youdao.com, 61.135.218.30
hotfile.com, 199.184.144.150
qiyi.com, 101.227.188.174
pconline.com.cn, 219.136.245.40
odnoklassniki.ru, 217.20.155.13
jp.msn.com, 13.88.15.24
